Page Name,Page Name,Page Views,Onload (s),TCP (s),First Byte (s),DNS (s),DOM Duration (s),SSL (s),Redirect (s),Base Page (s),Time To DOM Interactive (s),Time To DOM Content Loaded (s),JS Errors (Sampled),Time To Interactive (s),First Contentful Paint (s),Largest Contentful Paint (s),Total Blocking Time (s),First Input Delay Duration (s),Cumulative Layout Shift
"Inspiration - Dining,,""1,407"",3.42,0.08,0.24,0.09,2.71,0.06,0.00,0.01,1.40,1.49,1,3.58,1.44,1.74,2.07,0.04,0.654"
"Inspiration - Kids New Arrivals,,""1,255"",4.09,0.04,0.37,0.06,3.05,0.03,0.00,0.02,1.58,1.62,10,3.01,1.37,1.90,0.69,0.09,0.070"
"login,,""1,237"",2.08,0.00,0.44,0.01,1.53,0.00,0.00,0.02,0.93,1.10,27,2.62,1.12,1.16,0.07,0.03,0.076"
"shipping,,""1,223"",4.85,0.00,0.68,0.01,4.05,0.00,0.04,0.01,2.19,2.36,36,7.06,1.42,1.56,1.08,0.19,0.083"
Inspiration - Leisure Travel,,958,2.96,0.03,0.38,0.02,2.30,0.02,0.00,0.01,1.06,1.11,0,2.13,1.39,2.02,0.45,0.07,0.626
wishlist,,931,3.50,0.02,1.54,0.01,1.83,0.01,0.00,0.01,2.22,2.25,6,4.05,2.46,2.81,0.06,0.04,0.042
Inspiration - Jewelry Creations,,930,2.37,0.03,0.37,0.00,1.63,0.01,0.00,0.01,0.96,1.00,0,2.43,1.42,1.86,0.82,0.02,0.451
Inspiration - Home Studio,,880,3.12,0.01,0.44,0.01,2.42,0.01,0.00,0.02,1.04,1.07,1,2.31,1.30,1.98,1.53,0.05,0.589
confirmation,,839,7.61,0.00,2.90,0.00,3.54,0.00,0.99,0.01,4.39,4.85,17,6.06,5.45,5.61,0.25,0.05,0.038
product-look,,354,4.44,0.12,0.77,0.18,3.30,0.07,0.00,0.02,2.46,2.52,3,9.10,2.25,2.56,0.26,0.02,0.053
500,,257,1.95,0.01,0.39,0.01,1.41,0.01,0.00,0.00,0.79,0.81,2,2.23,0.62,0.80,0.76,0.01,0.000
billing-payment,,246,4.15,0.05,0.64,0.06,2.88,0.03,0.47,0.02,1.71,1.80,7,2.82,1.54,2.39,0.00,0.21,0.085
Return - Open,,206,2.44,0.01,0.86,0.00,1.50,0.01,0.00,0.00,1.31,1.44,0,2.19,1.46,1.50,0.18,0.12,N/A
Return - Confirm,,188,2.79,0.03,0.71,0.02,1.94,0.02,0.00,0.00,1.17,1.19,0,2.07,1.12,1.70,0.00,0.06,0.265
setpassword,,51,4.07,0.09,0.62,0.03,2.29,0.06,0.00,0.00,2.25,2.28,0,1.55,2.65,3.70,0.00,0.06,0.088
Stories-Show,,29,2.66,0.01,0.65,0.01,1.91,0.01,0.00,0.01,1.07,1.10,0,1.73,1.38,1.76,0.00,0.01,0.343
Inspiration - Tales from the Heart,,26,5.57,0.01,0.32,0.00,5.08,0.01,0.00,0.02,1.55,1.61,0,1.49,1.09,2.07,0.00,0.01,0.471
Inspiration - The Magic of Suits,,25,9.67,0.00,0.49,0.00,8.96,0.00,0.00,0.01,1.53,1.66,0,12.21,1.45,3.46,0.69,0.01,0.040
Cookie-BoutiqueSelection,,22,2.85,0.01,0.56,0.01,2.06,0.00,0.00,0.00,1.45,1.53,0,0.00,1.89,1.89,0.00,0.00,N/A
CSRF-Fail,,19,2.95,0.00,0.61,0.00,2.15,0.00,0.11,0.01,1.90,1.94,0,1.61,1.74,1.85,0.00,0.00,0.015
Account-CloseDoubleOptIn,,17,7.11,0.14,2.84,0.71,2.97,0.10,0.00,0.00,4.41,4.44,0,3.76,0.00,0.00,0.00,0.00,N/A
Inspiration - Comfort Relax,,11,4.31,0.04,0.62,0.02,3.40,0.03,0.00,0.01,1.43,1.50,0,2.50,1.75,2.56,0.00,0.06,0.706
Password Reset,,10,3.98,0.00,0.52,0.00,1.90,0.00,0.00,0.00,2.50,2.53,0,1.91,0.00,0.00,0.00,0.00,N/A
